id,city,countries,zip code,latitude,longitude,state
1,Marietta,United States,30061,"33,94,91,123","-84,55,07,433",Georgia
2,Ogden,United States,84409,41.2,-111.98,Utah
3,Migrate,United States,41905,"38,32,37,571","-1,08,18,21,561",Kentucky
4,Colorado Springs,United States,80905,"38,81,63,486","-1,04,85,12,993",Colorado
5,Port Washington,United States,11054,"40,83,95,426","-73,70,23,905",New York
6,Tucson,United States,85715,"32,25,14,545","-1,10,83,74,104",Arizona
7,Pensacola,United States,32595,"3,04,75,663","-8,71,93,563",Florida
8,Erie,United States,16505,"42,09,48,645","-80,17,07,662",Pennsylvania
9,Houston,United States,77090,"30,01,18,752","-95,44,63,322",Texas
10,Huntington,United States,25709,"38,40,99,999","-82,45,99,999",West Virginia
11,Santa Barbara,United States,93106,"34,41,35,868","-1,19,84,96,976",California
12,Fort Worth,United States,76115,"32,67,86,908","-97,33,54,531",Texas
13,Miami,United States,33233,"2,57,28,011","-80,24,54,223",Florida
14,Wilkes Barre,United States,18706,"41,21,64,036","-75,91,42,437",Pennsylvania
15,Lees Summit,United States,64082,"38,85,25,512","-94,40,79,213",Missouri
16,Macon,United States,31205,32.75,-83.66,Georgia
17,New Haven,United States,6510,"41,30,52,226","-72,92,68,626",Connecticut
18,Humble,United States,77346,"29,99,97,656","-95,17,44,903",Texas
19,Grand Rapids,United States,49505,"43,00,43,693","-85,63,32,093",Michigan
20,Phoenix,United States,85053,"33,62,89,952","-1,12,13,70,601",Arizona
21,Winter Haven,United States,33884,"27,98,90,156","-81,68,02,054",Florida
22,Atlanta,United States,30328,"33,92,53,024","-84,38,57,442",Georgia
23,Carlsbad,United States,92013,33.1,-117.28,California
24,Birmingham,United States,35244,"33,36,39,393","-86,81,19,917",Alabama
25,Iowa City,United States,52245,"41,66,13,587","-91,49,18,235",Iowa
26,Gainesville,United States,32627,29.65,-82.33,Florida
27,Oklahoma City,United States,73167,35.47,-97.52,Oklahoma
28,Fort Pierce,United States,34981,"27,39,80,151","-80,37,14,326",Florida
29,Baltimore,United States,21290,"39,29,37,264","-76,62,48,739",Maryland
30,Tampa,United States,33680,"27,99,61,123","-82,42,90,869",Florida
31,Detroit,United States,48211,"42,38,40,829","-83,04,15,078",Michigan
32,Battle Creek,United States,49018,"4,23,19,384","-85,18,72,878",Michigan
33,Irving,United States,75037,"3,28,86,855","-9,69,67,936",Texas
34,Katy,United States,77493,"29,78,57,853","-95,82,43,956",Texas
35,Springfield,United States,1129,"42,11,44,473","-72,49,09,026",Massachusetts
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
